College,Address
All Souls,"Oxford, OX1 4AL"
Balliol,"Oxford, OX1 3BJ"
Blackfriars,"Oxford, OX1 3LY"
Brasenose,"Oxford, OX1 4AJ"
Campion Hall,"Brewer St, Oxford, OX1 1QS"
Christ Church,"St. Aldates, Oxford, OX1 1DP"
Corpus Christi,"Merton Street, Oxford, OX1 4JF"
Exeter,"Turl Street , Oxford, OX1 3DP"
Green Templeton,"43 Woodstock Road, Oxford, OX2 6HG"
Harris Manchester,"Mansfield Rd, Oxford, OX1 3TD"
Hertford,"Catte Street, Oxford, OX1 3BW"
Jesus,"Turl Street, Oxford, OX13DW"
Keble,"Oxford, OX1 3PG"
Kellogg,"60-62 Banbury Road, Oxford, OX2 6PN"
Lady Margaret Hall,"Norham Gardens, Oxford, OX2 6QA"
Linacre,"St. Cross Road, Oxford, OX1 3JA"
Lincoln,"Turl Street, Oxford, OX1 3DR"
Magdalen,"Oxford, OX1 4AU"
Mansfield,"Mansfield Road, Oxford, OX1 3TF"
Merton,"Merton Street, Oxford, OX1 4JF"
New College,"Oxford, OX1 3BN"
Nuffield,"New Road, Oxford, OX1 1NF"
Oriel,"Oxford, OX1 4EW"
Pembroke,"Oxford, OX1 1DW"
The Queen's College,"High Street, Oxford, OX1 4AW"
Regent's Park,"Pusey Street, Oxford, OX1 2LB"
Reuben,"Oxford, OX1 3QP"
St Anne's,"Woodstock Road, Oxford, OX2 6HS"
St Antony's,"62 Woodstock Road, Oxford, OX2 6JF"
St Benet's Hall,"38 St Giles, Oxford, OX1 3LN"
St Catherine's,"Manor Road, Oxford, OX1 3UJ"
St Cross,"61 St Giles, Oxford, OX1 3LZ"
St Edmund Hall,"Queen’s Lane, Oxford, OX1 4AR"
St Hilda's ,"Cowley Place, Oxford, OX4 1DY"
St Hugh's,"St Margaret's Road, Oxford, OX2 6LE"
St John's,"St Giles, Oxford, OX1 3JP"
St Peter's,"New Inn Hall Street, Oxford, OX1 2DL"
St Stephen's House,"16 Marston Street, Oxford, OX4 1JX"
Somerville,"Woodstock Road, Oxford, OX2 6HD"
Trinity,"Broad Street, Oxford, OX1 3BH"
University College,"Oxford, OX1 4BH"
Wadham,"Parks Road, Oxford, OX1 3PN"
Wolfson,"Linton Road, Oxford, OX2 6UD"
Worcester,"Walton Street, Oxford, OX1 2HB"
Wycliffe Hall,"54 Banbury Road, Oxford, OX2 6PW"
